Day,Date,Time,Court 1,,,,Court 2,,,
,,,#,Team 1,Team 2,#,#,Team 1,Team 2,#
,,9:00 PM,5,Disqualified,Rons Rockers,18,1,Ball Smashers 2,Block Party,3
Monday,8/5/2019,6:30 PM,8,Monkey,Croc O Shit,19,6,Half Spiked,La Cabana Fiesta,8
,,7:45 PM,7,Just The Tip,What’s The Score,20,9,Old Diggers,Stars & Spikes,11
,,9:00 PM,10,One Hit Wonders,Rons Rockers,18,9,Natty’s Daddy,The Goodfellas,17
,,6:30 PM,11,Power Blackout,Croc O Shit,19,10,Ron’s Rockin Dinosaurs,Volleylama,12
Tuesday,8/6/2019,7:45 PM,12,Questionably Athletic,What’s The Score,20,2,Beer Pressure,Vollyagra,13
,,9:00 PM,1,Aces High,Scared Hitless,14,2,Chafing The Dream,Sand Sweat & Beers,13
Wednesday,8/7/2019,6:30 PM,3,Little Rascals,Shamwow,6,1,Ginger Ninjas,The Goonies,8
,,7:45 PM,5,Plan B,ZeePellz,9,4,Phillippas,Smack,7
,,9:00 PM,4,Deepak’s Virgins,Soldner,15,1,Ball Smashers 2,Blockbusters,4
Thursday,8/8/2019,6:30 PM,2,Legends,The Goonies,8,6,Half Spiked,Old Diggers,9
,,7:45 PM,1,Ginger Ninjas,Plan B,5,5,Disqualified,Scared Hitless,14
,,9:00 PM,3,Choke On That Block,Spiked Punch,16,3,Block Party,Bumpin Uglies,5
Friday,8/9/2019,6:30 PM,8,Monkey,Soldner,15,1,Ball Smashers 2,Volleylama,12
,,7:45 PM,7,Just The Tip,Spiked Punch,16,8,La Cabana Fiesta,Stars & Spikes,11
,,9:00 PM,6,Here For Beer,Sand Sweat & Beers,13,7,It’s All Good,Ron’s Rockin Dinosaurs,10
Monday,8/12/2019,6:30 PM,9,Natty’s Daddy,Rons Rockers,18,3,Block Party,Vollyagra,13
,,7:45 PM,10,One Hit Wonders,The Goodfellas,17,2,Beer Pressure,Bumpin Uglies,5
,,9:00 PM,12,Questionably Athletic,Croc O Shit,19,11,Power Blackout,What’s The Score,20
Tuesday,8/13/2019,6:30 PM,1,Aces High,Power Blackout,11,4,Blockbusters,Half Spiked,6
,,7:45 PM,2,Chafing The Dream,Questionably Athletic,12,7,It’s All Good,Old Diggers,9
,,9:00 PM,4,Deepak’s Virgins,One Hit Wonders,10,3,Choke On That Block,Natty’s Daddy,9
Wednesday,8/14/2019,6:30 PM,4,Phillippas,Shamwow,6,3,Little Rascals,Smack,7
,,7:45 PM,#,Blue,Blue,#,5,Plan B,The Goonies,8
,,9:00 PM,5,Disqualified,Soldner,15,8,La Cabana Fiesta,Ron’s Rockin Dinosaurs,10
Thursday,8/15/2019,6:30 PM,1,Ginger Ninjas,Shamwow,6,11,Stars & Spikes,Vollyagra,13
,,7:45 PM,3,Little Rascals,ZeePellz,9,7,Just The Tip,Sand Sweat & Beers,13
,,9:00 PM,6,Here For Beer,Spiked Punch,16,2,Beer Pressure,Volleylama,12
Friday,8/16/2019,6:30 PM,11,Power Blackout,Rons Rockers,18,4,Blockbusters,It’s All Good,7
,,7:45 PM,7,Just The Tip,The Goodfellas,17,3,Block Party,Half Spiked,6
,,9:00 PM,8,Monkey,Scared Hitless,14,1,Ball Smashers 2,Bumpin Uglies,5
Monday,8/19/2019,6:30 PM,2,Chafing The Dream,Soldner,15,9,Old Diggers,Vollyagra,13
,,7:45 PM,1,Aces High,Questionably Athletic,12,8,La Cabana Fiesta,Volleylama,12
,,9:00 PM,5,Disqualified,Croc O Shit,19,6,Here For Beer,What’s The Score,20
Tuesday,8/20/2019,6:30 PM,3,Choke On That Block,One Hit Wonders,10,2,Beer Pressure,Stars & Spikes,11
,,7:45 PM,4,Deepak’s Virgins,Natty’s Daddy,9,1,Ball Smashers 2,Ron’s Rockin Dinosaurs,10
,,9:00 PM,8,Monkey,Sand Sweat & Beers,13,7,Just The Tip,Scared Hitless,14
Wednesday,8/21/2019,6:30 PM,7,Smack,ZeePellz,9,#,Blue,Blue,#
,,7:45 PM,2,Legends,Plan B,5,4,Phillippas,The Goonies,8
,,9:00 PM,1,Aces High,Spiked Punch,16,3,Block Party,It’s All Good,7
Thursday,8/22/2019,6:30 PM,1,Ginger Ninjas,Smack,7,5,Bumpin Uglies,Old Diggers,9
